#,Year,District,Area (sqkm),Rent,Population (t),Population (t-1),Population (t-2),Airbnb (t),Airbnb (t-1),Airbnb (t-2),AirDen (t),AirDen (t-1),AirDen (t-2),PopDen (t),PopDen (t-1),PopDen (t-2)
1,2018,Adalar,11.05,N/A,"16,119","14,907","14,478",107,95,110,0.006638,0.006373,0.007598,"1,459","1,349","1,310"
2,2018,Arnavutkoy,506.55,"1,041","270,549","261,655","247,507",6,2,3,0.000022,0.000008,0.000012,534,517,489
3,2018,Atasehir,25.2,"1,902","416,318","423,372","422,513",109,61,82,0.000262,0.000144,0.000194,"16,521","16,800","16,766"
4,2018,Avcilar,42.01,"1,357","435,625","435,682","430,770",40,28,23,0.000092,0.000064,0.000053,"10,370","10,371","10,254"
5,2018,Bagcilar,22.36,"1,379","734,369","748,483","751,510",55,34,31,0.000075,0.000045,0.000041,"32,843","33,474","33,610"
6,2018,Bahcelievler,16.62,"1,500","594,053","598,454","598,097",47,37,52,0.000079,0.000062,0.000087,"35,743","36,008","35,987"
7,2018,Bakirkoy,29.64,"3,302","222,667","222,370","222,437",57,74,98,0.000256,0.000333,0.000441,"7,512","7,502","7,505"
8,2018,Basaksehir,104.3,"1,924","427,835","396,729","369,810",74,46,48,0.000173,0.000116,0.000130,"4,102","3,804","3,546"
9,2018,Bayrampasa,9.61,"1,173","271,073","274,197","273,148",5,14,20,0.000018,0.000051,0.000073,"28,207","28,532","28,423"
10,2018,Besiktas,18.01,"5,833","181,074","185,447","189,356",520,566,654,0.002872,0.003052,0.003454,"10,054","10,297","10,514"
11,2018,Beykoz,310.36,"2,501","246,700","251,087","250,410",35,27,33,0.000142,0.000108,0.000132,795,809,807
12,2018,Beylikduzu,37.78,"1,504","331,525","314,662","297,413",27,29,27,0.000081,0.000092,0.000091,"8,775","8,329","7,872"
13,2018,Beyoglu,8.91,"2,959","230,526","236,606","238,762","2,267",2123,2649,0.009834,0.008973,0.011095,"25,873","26,555","26,797"
14,2018,Buyukcekmece,157.72,"1,573","247,736","243,474","237,185",64,39,40,0.000258,0.000160,0.000169,"1,571","1,544","1,504"
15,2018,Catalca,1040.38,839,"72,966","69,057","68,934",5,10,8,0.000069,0.000145,0.000116,70,66,66
16,2018,Cekmekoy,148.16,"1,209","251,937","248,859","239,611",17,16,17,0.000067,0.000064,0.000071,"1,700","1,680","1,617"
17,2018,Esenler,18.43,"1,024","444,561","454,569","457,231",9,3,3,0.000020,0.000007,0.000007,"24,122","24,665","24,809"
